colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key.keys,key.rt,key_resp_2.keys,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,right,104.984513296,,,,,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
,,,,,,,,,,None,,,,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,GREEN,0,right,0,0,0,3,,,,down,0,1.5214927128,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,BLUE,0,left,0,1,1,5,,,,left,1,0.960750404687,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,RED,0,down,0,2,2,1,,,,down,1,1.280207797,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,RED,1,left,0,3,3,0,,,,left,1,0.859804872431,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,GREEN,1,down,0,4,4,2,,,,down,1,0.828001279486,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,BLUE,1,right,0,5,5,4,,,,right,1,0.680702258549,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,BLUE,1,right,1,0,6,4,,,,right,1,0.628882438228,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,BLUE,0,left,1,1,7,5,,,,left,1,0.690023018229,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,RED,1,left,1,2,8,0,,,,left,1,0.735820579794,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,GREEN,1,down,1,3,9,2,,,,down,1,0.699880318869,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,RED,0,down,1,4,10,1,,,,down,1,0.735798342706,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,GREEN,0,right,1,5,11,3,,,,right,1,0.517410782246,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,RED,0,down,2,0,12,1,,,,down,1,0.657336213888,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,GREEN,0,right,2,1,13,3,,,,right,1,0.998305420086,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,BLUE,1,right,2,2,14,4,,,,right,1,0.579858218625,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,RED,1,left,2,3,15,0,,,,left,1,0.645252353854,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,GREEN,1,down,2,4,16,2,,,,down,1,0.955692893309,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,BLUE,0,left,2,5,17,5,,,,left,1,1.08977453307,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,BLUE,0,left,3,0,18,5,,,,left,1,1.04932869662,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,GREEN,0,right,3,1,19,3,,,,right,1,1.23791229123,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,RED,1,left,3,2,20,0,,,,left,1,0.587778041961,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,RED,0,down,3,3,21,1,,,,left,0,0.843146444888,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,BLUE,1,right,3,4,22,4,,,,right,1,1.02301538293,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,GREEN,1,down,3,5,23,2,,,,down,1,1.1043369728,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,GREEN,1,down,4,0,24,2,,,,down,1,0.498510400401,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,BLUE,1,right,4,1,25,4,,,,right,1,1.02128944303,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
blue,GREEN,0,right,4,2,26,3,,,,down,0,1.1128862767,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
green,RED,0,down,4,3,27,1,,,,right,0,1.32560965249,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,BLUE,0,left,4,4,28,5,,,,None,0,,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
red,RED,1,left,4,5,29,0,,,,left,1,0.875277892286,2018_Mar_17_1353,32.0134309045,strooptest,001,shishir1,
