colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key.keys,key.rt,key_resp_2.keys,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,return,81.6460603013,,,,,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
,,,,,,,,,,None,,,,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,GREEN,1,down,0,0,0,2,,,,down,1,0.983319335377,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,RED,0,down,0,1,1,1,,,,down,1,0.550213903654,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,GREEN,0,right,0,2,2,3,,,,right,1,0.544333049947,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,BLUE,0,left,0,3,3,5,,,,left,1,0.409303198096,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,BLUE,1,right,0,4,4,4,,,,right,1,0.563838394555,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,RED,1,left,0,5,5,0,,,,left,1,0.471271681876,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,RED,1,left,1,0,6,0,,,,left,1,0.424771086313,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,BLUE,0,left,1,1,7,5,,,,right,0,0.746855305566,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,GREEN,0,right,1,2,8,3,,,,right,1,0.768413304162,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,RED,0,down,1,3,9,1,,,,down,1,0.702509426526,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,GREEN,1,down,1,4,10,2,,,,down,1,0.531419005412,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,BLUE,1,right,1,5,11,4,,,,right,1,0.577648194492,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,BLUE,1,right,2,0,12,4,,,,right,1,0.407570416013,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,GREEN,0,right,2,1,13,3,,,,right,1,1.05278171679,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,RED,0,down,2,2,14,1,,,,down,1,0.733510773869,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,BLUE,0,left,2,3,15,5,,,,left,1,0.455288349425,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,GREEN,1,down,2,4,16,2,,,,down,1,0.605338496898,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,RED,1,left,2,5,17,0,,,,left,1,0.407670767985,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,GREEN,0,right,3,0,18,3,,,,right,1,0.642059906706,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,BLUE,1,right,3,1,19,4,,,,right,1,0.640871077936,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,GREEN,1,down,3,2,20,2,,,,down,1,0.546694742407,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,BLUE,0,left,3,3,21,5,,,,left,1,0.4605169153,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,RED,0,down,3,4,22,1,,,,down,1,0.673437003767,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,RED,1,left,3,5,23,0,,,,left,1,0.538327896655,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,GREEN,0,right,4,0,24,3,,,,right,1,0.536245023024,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,RED,0,down,4,1,25,1,,,,down,1,0.681933850938,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
green,GREEN,1,down,4,2,26,2,,,,down,1,0.423503572471,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,BLUE,0,left,4,3,27,5,,,,left,1,0.532321602986,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
blue,BLUE,1,right,4,4,28,4,,,,right,1,0.423680328786,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
red,RED,1,left,4,5,29,0,,,,left,1,0.644232298851,2018_Mar_17_1457,32.1901757051,strooptest,001,shoaib,
