colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key.keys,key.rt,key_resp_2.keys,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,left,60.9684894804,,,,,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
,,,,,,,,,,None,,,,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,BLUE,0,left,0,0,0,5,,,,None,0,,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,GREEN,0,right,0,1,1,3,,,,down,0,0.903843993736,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,RED,1,left,0,2,2,0,,,,left,1,0.70055655433,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,RED,0,down,0,3,3,1,,,,down,1,0.936847819081,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,GREEN,1,down,0,4,4,2,,,,down,1,0.564718184862,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,BLUE,1,right,0,5,5,4,,,,right,1,0.435774452104,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,RED,0,down,1,0,6,1,,,,down,1,0.733524458228,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,RED,1,left,1,1,7,0,,,,left,1,0.910374854531,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,GREEN,1,down,1,2,8,2,,,,down,1,0.901458353648,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,BLUE,0,left,1,3,9,5,,,,left,1,1.06213326628,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,BLUE,1,right,1,4,10,4,,,,right,1,0.828806946178,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,GREEN,0,right,1,5,11,3,,,,right,1,0.568179757749,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,RED,1,left,2,0,12,0,,,,left,1,0.628166860246,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,RED,0,down,2,1,13,1,,,,down,1,0.750662978739,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,GREEN,0,right,2,2,14,3,,,,right,1,0.903501884735,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,GREEN,1,down,2,3,15,2,,,,down,1,0.675037503701,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,BLUE,0,left,2,4,16,5,,,,left,1,0.703259215414,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,BLUE,1,right,2,5,17,4,,,,right,1,0.7331521296,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,GREEN,0,right,3,0,18,3,,,,right,1,0.488863496794,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,BLUE,0,left,3,1,19,5,,,,left,1,0.422906022082,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,GREEN,1,down,3,2,20,2,,,,down,1,0.331163221912,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,RED,0,down,3,3,21,1,,,,down,1,0.622863030389,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,RED,1,left,3,4,22,0,,,,left,1,0.361994084938,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,BLUE,1,right,3,5,23,4,,,,right,1,0.406272682543,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,BLUE,1,right,4,0,24,4,,,,right,1,0.379324186477,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,BLUE,0,left,4,1,25,5,,,,right,0,0.34456648233,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
red,RED,1,left,4,2,26,0,,,,left,1,0.530662944519,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,GREEN,1,down,4,3,27,2,,,,down,1,0.482858913674,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
green,RED,0,down,4,4,28,1,,,,down,1,0.44382940849,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
blue,GREEN,0,right,4,5,29,3,,,,right,1,0.750536968582,2018_Mar_17_1408,32.0522792446,strooptest,001,amogh ,
