colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key.keys,key.rt,key_resp_2.keys,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,down,6.45385035126,,,,,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
,,,,,,,,,,None,,,,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,BLUE,1,right,0,0,0,4,,,,right,1,1.03070884414,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,GREEN,0,right,0,1,1,3,,,,right,1,0.518941720016,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,RED,1,left,0,2,2,0,,,,left,1,0.531344881791,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,BLUE,0,left,0,3,3,5,,,,left,1,0.800841816214,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,GREEN,1,down,0,4,4,2,,,,down,1,0.70209889573,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,RED,0,down,0,5,5,1,,,,down,1,0.748240276836,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,GREEN,1,down,1,0,6,2,,,,down,1,0.452231035328,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,BLUE,1,right,1,1,7,4,,,,right,1,0.517459817871,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,BLUE,0,left,1,2,8,5,,,,left,1,0.643057724621,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,RED,1,left,1,3,9,0,,,,left,1,0.541874996794,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,RED,0,down,1,4,10,1,,,,down,1,0.500685643456,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,GREEN,0,right,1,5,11,3,,,,right,1,0.369103109944,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,GREEN,0,right,2,0,12,3,,,,right,1,0.347891211619,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,BLUE,1,right,2,1,13,4,,,,down,0,0.375375108262,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,RED,1,left,2,2,14,0,,,,left,1,0.534304694818,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,RED,0,down,2,3,15,1,,,,down,1,0.674395479145,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,BLUE,0,left,2,4,16,5,,,,left,1,0.688257165617,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,GREEN,1,down,2,5,17,2,,,,down,1,0.782512756392,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,GREEN,0,right,3,0,18,3,,,,right,1,0.577555825061,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,BLUE,0,left,3,1,19,5,,,,left,1,0.549496044936,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,GREEN,1,down,3,2,20,2,,,,right,0,0.477949079359,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,BLUE,1,right,3,3,21,4,,,,right,1,1.25130015674,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,RED,1,left,3,4,22,0,,,,left,1,0.565081960762,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,RED,0,down,3,5,23,1,,,,down,1,0.655818390296,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,GREEN,0,right,4,0,24,3,,,,right,1,0.690479163561,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,GREEN,1,down,4,1,25,2,,,,down,1,0.554432677796,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
blue,BLUE,1,right,4,2,26,4,,,,right,1,1.0331047475,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,BLUE,0,left,4,3,27,5,,,,left,1,0.715685184456,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
green,RED,0,down,4,4,28,1,,,,down,1,0.594354517292,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
red,RED,1,left,4,5,29,0,,,,down,0,0.534639391451,2018_Mar_17_1413,31.9634880454,strooptest,001,amogh11,
