colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key.keys,key.rt,key_resp_2.keys,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
,,,,,,,,right,16.9214272559,,,,,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
,,,,,,,,,,None,,,,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,RED,1,left,0,0,0,0,,,,left,1,0.407828138123,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,BLUE,0,left,0,1,1,5,,,,left,1,0.343004754744,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,RED,0,down,0,2,2,1,,,,down,1,0.500026513444,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,GREEN,0,right,0,3,3,3,,,,right,1,0.313960841064,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,BLUE,1,right,0,4,4,4,,,,right,1,0.407515108389,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,GREEN,1,down,0,5,5,2,,,,down,1,0.562373597852,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,GREEN,0,right,1,0,6,3,,,,right,1,0.643095356616,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,GREEN,1,down,1,1,7,2,,,,down,1,0.621444988588,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,RED,0,down,1,2,8,1,,,,down,1,0.475176285916,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,BLUE,0,left,1,3,9,5,,,,left,1,0.470448339547,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,BLUE,1,right,1,4,10,4,,,,right,1,0.484009540276,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,RED,1,left,1,5,11,0,,,,left,1,0.449892720317,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,GREEN,1,down,2,0,12,2,,,,down,1,0.492435684937,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,GREEN,0,right,2,1,13,3,,,,right,1,0.53534584654,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,RED,0,down,2,2,14,1,,,,down,1,0.585288628812,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,BLUE,1,right,2,3,15,4,,,,right,1,0.57906338539,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,RED,1,left,2,4,16,0,,,,left,1,0.407690724343,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,BLUE,0,left,2,5,17,5,,,,left,1,0.501386396718,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,BLUE,1,right,3,0,18,4,,,,right,1,0.469911228414,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,GREEN,1,down,3,1,19,2,,,,down,1,0.704676116853,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,RED,0,down,3,2,20,1,,,,down,1,0.377062845997,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,RED,1,left,3,3,21,0,,,,left,1,0.37622752985,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,BLUE,0,left,3,4,22,5,,,,left,1,0.514957290543,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,GREEN,0,right,3,5,23,3,,,,right,1,0.595178429801,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,GREEN,1,down,4,0,24,2,,,,down,1,0.329328947497,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,BLUE,1,right,4,1,25,4,,,,right,1,0.502026710732,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,RED,1,left,4,2,26,0,,,,left,1,0.471522561806,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
red,BLUE,0,left,4,3,27,5,,,,left,1,0.471069837564,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
green,RED,0,down,4,4,28,1,,,,right,0,0.597123319458,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
blue,GREEN,0,right,4,5,29,3,,,,right,1,0.566454958214,2018_Mar_17_1500,31.9999379644,strooptest,001,shoaib1,
